Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|O43324|MCA3_HUMAN;sp|O43324-2|MCA3_HUMAN;tr|D6RBD7|D6RBD7_HUMAN;tr|C9J1V9|C9J1V9_HUMAN;tr|H0YAL7|H0YAL7_HUMAN;tr|D6RCQ0|D6RCQ0_HUMAN	sp|O43324|MCA3_HUMAN;sp|O43324-2|MCA3_HUMAN;tr|D6RBD7|D6RBD7_HUMAN;tr|C9J1V9|C9J1V9_HUMAN;tr|H0YAL7|H0YAL7_HUMAN	6;4;4;4;3;1	6;4;4;4;3;1	6;4;4;4;3;1	sp|O43324|MCA3_HUMAN Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens GN=EEF1E1 PE=1 SV=1;sp|O43324-2|MCA3_HUMAN Isoform 2 of Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens GN=EEF1E1;tr|D6RBD7|D6RBD7_HUMAN Eukaryot	6	6	6	6	44.8	44.8	44.8	19.81	174	174;139;150;151;136;94	0	43.299	379480000	7				197	5;884;14798;14847;19973;20262	True;True;True;True;True;True	5;897;15036;15085;20292;20585	5;1041;17867;17927;24133;24484	5;1163;20034;20096;20097;27069;27472	5;1163;20034;20097;27069;27472		
sp|O43390|HNRPR_HUMAN;sp|O43390-3|HNRPR_HUMAN;tr|B4DT28|B4DT28_HUMAN;tr|E7ETM7|E7ETM7_HUMAN	sp|O43390|HNRPR_HUMAN;sp|O43390-3|HNRPR_HUMAN;tr|B4DT28|B4DT28_HUMAN;tr|E7ETM7|E7ETM7_HUMAN	23;21;17;12	17;16;13;9	1;1;1;1	sp|O43390|HNRPR_HUMAN Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1;sp|O43390-3|HNRPR_HUMAN Isoform 3 of Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR;tr|B4DT28|B4DT28_HUMAN Heterogeneous nuclear ribonu	4	23	17	1	43	33.6	2.7	70.942	633	633;595;494;473	0	121.41	1952600000	20				198	672;2939;3297;3357;3738;3960;4428;4602;6128;7146;7495;9306;10269;10511;11302;11741;13821;15746;16890;17544;17791;19717;19905	False;True;True;False;True;True;True;True;False;True;True;False;True;True;True;True;True;False;True;False;True;True;True	682;2980;3343;3403;3787;4014;4483;4658;6217;7248;7602;9442;10414;10661;11461;11905;14040;15993;17156;17824;18074;20035;20224	788;3489;3914;3915;3988;4451;4721;4722;5268;5475;7298;7299;8554;8992;8993;11212;12462;12743;13695;14224;16718;18990;20355;21149;21465;23828;24055;24056	875;3945;4426;4427;4508;5015;5331;5332;5942;6169;8188;8189;9614;10134;10135;12655;14024;14336;15426;16022;18769;21282;22821;22822;23728;24078;26727;26976;26977	875;3945;4426;4508;5015;5332;5942;6169;8189;9614;10135;12655;14024;14336;15426;16022;18769;21282;22821;23728;24078;26727;26977		
sp|O43390-2|HNRPR_HUMAN;sp|O43390-4|HNRPR_HUMAN	sp|O43390-2|HNRPR_HUMAN;sp|O43390-4|HNRPR_HUMAN	23;19	1;1	1;1	sp|O43390-2|HNRPR_HUMAN Isoform 2 of Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR;sp|O43390-4|HNRPR_HUMAN Isoform 4 of Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR	2	23	1	1	43.2	3.1	3.1	71.214	636	636;535	0.0012407	8.0013	38458000	1				199	672;2939;3297;3357;3738;3960;4428;4602;6128;7146;7495;9306;10269;10511;11302;11741;13821;15746;16890;17544;17791;19717;19918	False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True	682;2980;3343;3403;3787;4014;4483;4658;6217;7248;7602;9442;10414;10661;11461;11905;14040;15993;17156;17824;18074;20035;20237	788;3489;3914;3915;3988;4451;4721;4722;5268;5475;7298;7299;8554;8992;8993;11212;12462;12743;13695;14224;16718;18990;20355;21149;21465;23828;24069	875;3945;4426;4427;4508;5015;5331;5332;5942;6169;8188;8189;9614;10134;10135;12655;14024;14336;15426;16022;18769;21282;22821;22822;23728;24078;26727;26991	875;3945;4426;4508;5015;5332;5942;6169;8189;9614;10135;12655;14024;14336;15426;16022;18769;21282;22821;23728;24078;26727;26991		
tr|K7ER96|K7ER96_HUMAN;sp|O43396|TXNL1_HUMAN;tr|K7EML9|K7EML9_HUMAN;tr|G3V1K0|G3V1K0_HUMAN;tr|K7EME7|K7EME7_HUMAN	tr|K7ER96|K7ER96_HUMAN;sp|O43396|TXNL1_HUMAN;tr|K7EML9|K7EML9_HUMAN;tr|G3V1K0|G3V1K0_HUMAN	7;7;4;4;1	7;7;4;4;1	7;7;4;4;1	tr|K7ER96|K7ER96_HUMAN Thioredoxin-like protein 1 (Fragment) OS=Homo sapiens GN=TXNL1 PE=1 SV=1;sp|O43396|TXNL1_HUMAN Thioredoxin-like protein 1 OS=Homo sapiens GN=TXNL1 PE=1 SV=3;tr|K7EML9|K7EML9_HUMAN Thioredoxin-like protein 1 (Fragment) OS=Homo sapiens	5	7	7	7	40.9	40.9	40.9	31.355	281	281;289;138;166;103	0	60.215	562270000	7				200	596;7186;8059;9051;14796;15991;16558	True;True;True;True;True;True;True	604;7288;8175;9182;15034;16244;16817	701;8602;9719;10911;17865;19277;19965	779;9669;10985;12310;20032;21606;22386	779;9669;10985;12310;20032;21606;22386		
sp|O43399|TPD54_HUMAN;sp|O43399-5|TPD54_HUMAN;sp|O43399-7|TPD54_HUMAN;sp|O43399-2|TPD54_HUMAN;sp|O43399-4|TPD54_HUMAN;sp|O43399-3|TPD54_HUMAN;sp|O43399-6|TPD54_HUMAN	sp|O43399|TPD54_HUMAN;sp|O43399-5|TPD54_HUMAN;sp|O43399-7|TPD54_HUMAN;sp|O43399-2|TPD54_HUMAN;sp|O43399-4|TPD54_HUMAN;sp|O43399-3|TPD54_HUMAN;sp|O43399-6|TPD54_HUMAN	10;10;10;8;8;8;6	10;10;10;8;8;8;6	10;10;10;8;8;8;6	sp|O43399|TPD54_HUMAN Tumor protein D54 OS=Homo sapiens GN=TPD52L2 PE=1 SV=2;sp|O43399-5|TPD54_HUMAN Isoform 5 of Tumor protein D54 OS=Homo sapiens GN=TPD52L2;sp|O43399-7|TPD54_HUMAN Isoform 7 of Tumor protein D54 OS=Homo sapiens GN=TPD52L2;sp|O43399-2|TPD	7	10	10	10	72.8	72.8	72.8	22.237	206	206;220;229;186;200;209;163	0	116.69	1556600000	13				201	6587;10136;11026;12854;17075;17967;17968;18096;19971;20041	True;True;True;True;True;True;True;True;True;True	6683;10280;11182;13036;17344;18257;18258;18386;20290;20361	7893;12288;12289;13362;15544;20571;20572;21695;21696;21840;24131;24217	8872;13840;13841;15055;17475;23061;23062;24332;24333;24489;27065;27066;27159	8872;13840;15055;17475;23062;24332;24333;24489;27066;27159		
tr|M0R1B0|M0R1B0_HUMAN;sp|O43402|EMC8_HUMAN	tr|M0R1B0|M0R1B0_HUMAN;sp|O43402|EMC8_HUMAN	1;1	1;1	1;1	tr|M0R1B0|M0R1B0_HUMAN ER membrane protein complex subunit 8 (Fragment) OS=Homo sapiens GN=EMC8 PE=1 SV=1;sp|O43402|EMC8_HUMAN ER membrane protein complex subunit 8 OS=Homo sapiens GN=EMC8 PE=1 SV=1	2	1	1	1	16	16	16	11.728	100	100;210	0.0012126	7.5498	73400000	2				202	17097	True	17367	20602;20603	23100;23101	23100		
tr|H0YEL5|H0YEL5_HUMAN;tr|A6NNE7|A6NNE7_HUMAN;tr|C9JQD4|C9JQD4_HUMAN;sp|O43447|PPIH_HUMAN	tr|H0YEL5|H0YEL5_HUMAN;tr|A6NNE7|A6NNE7_HUMAN;tr|C9JQD4|C9JQD4_HUMAN;sp|O43447|PPIH_HUMAN	2;2;2;2	2;2;2;2	2;2;2;2	tr|H0YEL5|H0YEL5_HUMAN Peptidyl-prolyl cis-trans isomerase H (Fragment) OS=Homo sapiens GN=PPIH PE=1 SV=1;tr|A6NNE7|A6NNE7_HUMAN Peptidyl-prolyl cis-trans isomerase OS=Homo sapiens GN=PPIH PE=1 SV=1;tr|C9JQD4|C9JQD4_HUMAN Peptidyl-prolyl cis-trans isomeras	4	2	2	2	24	24	24	10.281	96	96;134;144;177	0	12.489	91840000	2				203	8376;9699	True;True	8493;9839	10089;11736	11399;13226	11399;13226		
tr|H3BLU7|H3BLU7_HUMAN;sp|O43488|ARK72_HUMAN;sp|Q8NHP1|ARK74_HUMAN;tr|H7C5H7|H7C5H7_HUMAN	tr|H3BLU7|H3BLU7_HUMAN;sp|O43488|ARK72_HUMAN	9;9;3;2	9;9;3;2	8;8;2;2	tr|H3BLU7|H3BLU7_HUMAN Aflatoxin B1 aldehyde reductase member 2 (Fragment) OS=Homo sapiens GN=AKR7A2 PE=1 SV=1;sp|O43488|ARK72_HUMAN Aflatoxin B1 aldehyde reductase member 2 OS=Homo sapiens GN=AKR7A2 PE=1 SV=3	4	9	9	8	41.4	41.4	37.9	34.684	314	314;359;331;205	0	76.672	1396900000	14				204	1116;3906;5148;5819;11967;15242;15525;16756;18555	True;True;True;True;True;True;True;True;True	1133;3959;5219;5903;12135;15482;15770;17020;18858	1319;4648;4649;6117;6930;14489;14490;14491;18367;18720;18721;20199;20200;22418	1475;5251;5252;6868;7786;16319;16320;16321;16322;20579;20988;20989;22650;22651;25159	1475;5252;6868;7786;16322;20579;20988;22651;25159		
sp|O43504|LTOR5_HUMAN;tr|R4GMU8|R4GMU8_HUMAN;tr|E9PLX3|E9PLX3_HUMAN	sp|O43504|LTOR5_HUMAN;tr|R4GMU8|R4GMU8_HUMAN;tr|E9PLX3|E9PLX3_HUMAN	4;2;2	4;2;2	4;2;2	sp|O43504|LTOR5_HUMAN Ragulator complex protein LAMTOR5 OS=Homo sapiens GN=LAMTOR5 PE=1 SV=1;tr|R4GMU8|R4GMU8_HUMAN Ragulator complex protein LAMTOR5 OS=Homo sapiens GN=LAMTOR5 PE=1 SV=1;tr|E9PLX3|E9PLX3_HUMAN Ragulator complex protein LAMTOR5 OS=Homo sapi	3	4	4	4	70.3	70.3	70.3	9.6138	91	91;79;90	0	44.542	248470000	7				205	6974;7255;12869;12870	True;True;True;True	7073;7357;13052;13053	8352;8353;8684;8685;8686;15560;15561	9387;9388;9786;9787;9788;17491;17492	9387;9787;17491;17492		
sp|O43570-2|CAH12_HUMAN;sp|O43570|CAH12_HUMAN;tr|B3KUB4|B3KUB4_HUMAN	sp|O43570-2|CAH12_HUMAN;sp|O43570|CAH12_HUMAN;tr|B3KUB4|B3KUB4_HUMAN	7;7;5	7;7;5	7;7;5	sp|O43570-2|CAH12_HUMAN Isoform 2 of Carbonic anhydrase 12 OS=Homo sapiens GN=CA12;sp|O43570|CAH12_HUMAN Carbonic anhydrase 12 OS=Homo sapiens GN=CA12 PE=1 SV=1;tr|B3KUB4|B3KUB4_HUMAN Carbonic anhydrase 12 OS=Homo sapiens GN=CA12 PE=2 SV=1	3	7	7	7	33.2	33.2	33.2	38.407	343	343;354;283	0	71.782	780190000	11				206	4377;6903;11816;14052;14712;20378;20717	True;True;True;True;True;True;True	4432;7002;11983;14280;14949;20705;21048	5213;8273;14316;14317;16995;17766;24633;25037	5883;9303;9304;16125;16126;16127;19082;19923;27651;28093;28094	5883;9304;16127;19082;19923;27651;28094		
tr|F8VVL1|F8VVL1_HUMAN;sp|O43583|DENR_HUMAN	tr|F8VVL1|F8VVL1_HUMAN;sp|O43583|DENR_HUMAN	5;5	5;5	5;5	tr|F8VVL1|F8VVL1_HUMAN Density-regulated protein OS=Homo sapiens GN=DENR PE=1 SV=1;sp|O43583|DENR_HUMAN Density-regulated protein OS=Homo sapiens GN=DENR PE=1 SV=2	2	5	5	5	27.5	27.5	27.5	17.77	160	160;198	0	53.662	209680000	5				207	10548;12455;13629;14639;14640	True;True;True;True;True	10698;12627;13848;14875;14876	12790;15067;16488;17675;17676	14403;16948;18517;19821;19822	14403;16948;18517;19821;19822		
sp|O43592|XPOT_HUMAN;tr|F8WDU6|F8WDU6_HUMAN;tr|F5GZM3|F5GZM3_HUMAN;tr|F5GYW6|F5GYW6_HUMAN	sp|O43592|XPOT_HUMAN	16;6;4;3	16;6;4;3	16;6;4;3	sp|O43592|XPOT_HUMAN Exportin-T OS=Homo sapiens GN=XPOT PE=1 SV=2	4	16	16	16	22.2	22.2	22.2	109.96	962	962;201;228;60	0	136.64	754330000	21				208	954;1533;5135;7020;7448;9019;10453;11707;11733;12830;13039;13472;13880;14565;15020;20949	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	968;1555;5206;7119;7553;9149;10602;11868;11897;13011;13232;13688;14101;14801;15259;21283	1121;1827;6101;8406;8930;10871;12679;14182;14213;15514;15766;16303;16788;17586;17587;18122;25311	1253;2072;2073;6850;9442;10063;12261;14267;15971;16011;17444;17714;17715;18304;18848;18849;19725;19726;19727;20315;28397	1253;2073;6850;9442;10063;12261;14267;15971;16011;17444;17715;18304;18848;19726;20315;28397		
sp|O43598|DNPH1_HUMAN;tr|H0Y8X4|H0Y8X4_HUMAN;sp|O43598-2|DNPH1_HUMAN	sp|O43598|DNPH1_HUMAN;tr|H0Y8X4|H0Y8X4_HUMAN;sp|O43598-2|DNPH1_HUMAN	6;6;3	6;6;3	6;6;3	sp|O43598|DNPH1_HUMAN 2-deoxynucleoside 5-phosphate N-hydrolase 1 OS=Homo sapiens GN=DNPH1 PE=1 SV=1;tr|H0Y8X4|H0Y8X4_HUMAN 2-deoxynucleoside 5-phosphate N-hydrolase 1 (Fragment) OS=Homo sapiens GN=DNPH1 PE=1 SV=1;sp|O43598-2|DNPH1_HUMAN Isoform 2 of 2	3	6	6	6	44.8	44.8	44.8	19.108	174	174;243;148	0	52.201	1191100000	7				209	30;5243;5614;8521;19424;20552	True;True;True;True;True;True	30;5316;5693;8640;19737;20881	31;6235;6236;6687;10272;23481;24835	33;6998;6999;7499;7500;11600;11601;26343;27869	33;6999;7499;11600;26343;27869		
sp|O43615|TIM44_HUMAN;tr|M0QXU7|M0QXU7_HUMAN;tr|M0R301|M0R301_HUMAN;tr|M0R124|M0R124_HUMAN;tr|M0QXM9|M0QXM9_HUMAN	sp|O43615|TIM44_HUMAN;tr|M0QXU7|M0QXU7_HUMAN	10;9;4;3;2	10;9;4;3;2	10;9;4;3;2	sp|O43615|TIM44_HUMAN Mitochondrial import inner membrane translocase subunit TIM44 OS=Homo sapiens GN=TIMM44 PE=1 SV=2;tr|M0QXU7|M0QXU7_HUMAN Mitochondrial import inner membrane translocase subunit TIM44 (Fragment) OS=Homo sapiens GN=TIMM44 PE=1 SV=1	5	10	10	10	20.4	20.4	20.4	51.355	452	452;273;126;139;133	0	78.585	579130000	12				210	1164;4630;6187;9595;15499;17361;17615;18690;18844;19901	True;True;True;True;True;True;True;True;True;True	1181;4687;6277;9734;15743;17637;17896;18995;19152;20220	1374;1375;5506;7385;11591;18691;18692;20928;21249;22587;22776;24050	1538;1539;6202;8289;13067;20956;20957;23478;23845;25352;25561;26970	1539;6202;8289;13067;20957;23478;23845;25352;25561;26970		
tr|A6NKE1|A6NKE1_HUMAN;sp|O43617-2|TPPC3_HUMAN;sp|O43617|TPPC3_HUMAN	tr|A6NKE1|A6NKE1_HUMAN;sp|O43617-2|TPPC3_HUMAN;sp|O43617|TPPC3_HUMAN	1;1;1	1;1;1	1;1;1	tr|A6NKE1|A6NKE1_HUMAN Trafficking protein particle complex subunit 3 OS=Homo sapiens GN=TRAPPC3 PE=1 SV=1;sp|O43617-2|TPPC3_HUMAN Isoform 2 of Trafficking protein particle complex subunit 3 OS=Homo sapiens GN=TRAPPC3;sp|O43617|TPPC3_HUMAN Trafficking prot	3	1	1	1	6.8	6.8	6.8	13.343	118	118;134;180	0.0026913	6.5345	58284000	1				211	11198	True	11356	13572	15286	15286		
tr|A8MW61|A8MW61_HUMAN;sp|O43660|PLRG1_HUMAN;tr|D6RA26|D6RA26_HUMAN;sp|O43660-2|PLRG1_HUMAN;tr|H0YA24|H0YA24_HUMAN	tr|A8MW61|A8MW61_HUMAN;sp|O43660|PLRG1_HUMAN;tr|D6RA26|D6RA26_HUMAN;sp|O43660-2|PLRG1_HUMAN	3;3;2;2;1	3;3;2;2;1	3;3;2;2;1	tr|A8MW61|A8MW61_HUMAN Pleiotropic regulator 1 OS=Homo sapiens GN=PLRG1 PE=4 SV=1;sp|O43660|PLRG1_HUMAN Pleiotropic regulator 1 OS=Homo sapiens GN=PLRG1 PE=1 SV=1;tr|D6RA26|D6RA26_HUMAN Pleiotropic regulator 1 (Fragment) OS=Homo sapiens GN=PLRG1 PE=4 SV=1;	5	3	3	3	13.4	13.4	13.4	57.181	514	514;514;212;505;156	0	30.883	104070000	3				212	1645;13236;15317	True;True;True	1668;13441;15557	1950;16018;18450	2204;17989;20671	2204;17989;20671		
sp|O43665-2|RGS10_HUMAN;sp|O43665|RGS10_HUMAN;sp|O43665-3|RGS10_HUMAN	sp|O43665-2|RGS10_HUMAN;sp|O43665|RGS10_HUMAN;sp|O43665-3|RGS10_HUMAN	1;1;1	1;1;1	1;1;1	sp|O43665-2|RGS10_HUMAN Isoform 2 of Regulator of G-protein signaling 10 OS=Homo sapiens GN=RGS10;sp|O43665|RGS10_HUMAN Regulator of G-protein signaling 10 OS=Homo sapiens GN=RGS10 PE=1 SV=2;sp|O43665-3|RGS10_HUMAN Isoform 3 of Regulator of G-protein signa	3	1	1	1	10.2	10.2	10.2	19.608	167	167;173;181	0.0034078	6.3173	28013000	1				213	20218	True	20541	24437	27421	27421		
sp|O43670-2|ZN207_HUMAN;sp|O43670|ZN207_HUMAN;tr|J3QRS9|J3QRS9_HUMAN;sp|O43670-4|ZN207_HUMAN;tr|X6R4W8|X6R4W8_HUMAN;sp|O43670-3|ZN207_HUMAN;tr|J3QS27|J3QS27_HUMAN;tr|J3KTL1|J3KTL1_HUMAN;tr|J3KRB6|J3KRB6_HUMAN;tr|J3KRW6|J3KRW6_HUMAN;tr|H0Y3M2|H0Y3M2_HUMAN;tr|J3KS31|J3KS31_HUMAN	sp|O43670-2|ZN207_HUMAN;sp|O43670|ZN207_HUMAN;tr|J3QRS9|J3QRS9_HUMAN;sp|O43670-4|ZN207_HUMAN;tr|X6R4W8|X6R4W8_HUMAN;sp|O43670-3|ZN207_HUMAN	4;4;4;4;4;2;1;1;1;1;1;1	4;4;4;4;4;2;1;1;1;1;1;1	4;4;4;4;4;2;1;1;1;1;1;1	sp|O43670-2|ZN207_HUMAN Isoform 2 of BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Homo sapiens GN=ZNF207;sp|O43670|ZN207_HUMAN BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Homo sapiens GN=ZNF207 PE=1 SV=1;tr|J3QRS9|J3QRS9_	12	4	4	4	10.6	10.6	10.6	49.692	463	463;478;493;494;497;395;46;74;93;95;198;341	0	25.456	491090000	6				214	4706;8594;11218;12735	True;True;True;True	4765;8713;11376;12911	5599;10363;13593;13594;15401	6302;11700;15308;15309;15310;17322	6302;11700;15309;17322		
sp|O43674-2|NDUB5_HUMAN;tr|E7EWP0|E7EWP0_HUMAN;sp|O43674|NDUB5_HUMAN;tr|H0Y886|H0Y886_HUMAN	sp|O43674-2|NDUB5_HUMAN;tr|E7EWP0|E7EWP0_HUMAN;sp|O43674|NDUB5_HUMAN;tr|H0Y886|H0Y886_HUMAN	1;1;1;1	1;1;1;1	1;1;1;1	sp|O43674-2|NDUB5_HUMAN Isoform 2 of NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial OS=Homo sapiens GN=NDUFB5;tr|E7EWP0|E7EWP0_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial OS=Homo sapiens GN=N	4	1	1	1	10.9	10.9	10.9	15.667	137	137;177;189;206	0.001233	7.8915	57117000	1				215	17894	True	18182	21608	24241	24241		
sp|O43681|ASNA_HUMAN;tr|K7ERW9|K7ERW9_HUMAN	sp|O43681|ASNA_HUMAN	8;3	8;3	8;3	sp|O43681|ASNA_HUMAN ATPase ASNA1 OS=Homo sapiens GN=ASNA1 PE=1 SV=2	2	8	8	8	32.5	32.5	32.5	38.792	348	348;200	0	55.202	656200000	9				216	4657;5873;6661;10696;11252;11593;11903;20748	True;True;True;True;True;True;True;True	4716;5957;6757;10847;11410;11754;12070;21079	5542;6993;7984;12964;13632;14058;14410;25075;25076	6239;7853;8978;14589;15352;15840;16231;16232;28135;28136	6239;7853;8978;14589;15352;15840;16232;28136		
sp|O43684-2|BUB3_HUMAN;sp|O43684|BUB3_HUMAN;tr|J3QT28|J3QT28_HUMAN;tr|B4DDM6|B4DDM6_HUMAN;tr|J3QSX4|J3QSX4_HUMAN	sp|O43684-2|BUB3_HUMAN;sp|O43684|BUB3_HUMAN;tr|J3QT28|J3QT28_HUMAN;tr|B4DDM6|B4DDM6_HUMAN	9;9;8;6;4	9;9;8;6;4	9;9;8;6;4	sp|O43684-2|BUB3_HUMAN Isoform 2 of Mitotic checkpoint protein BUB3 OS=Homo sapiens GN=BUB3;sp|O43684|BUB3_HUMAN Mitotic checkpoint protein BUB3 OS=Homo sapiens GN=BUB3 PE=1 SV=1;tr|J3QT28|J3QT28_HUMAN Mitotic checkpoint protein BUB3 (Fragment) OS=Homo sap	5	9	9	9	34.7	34.7	34.7	36.954	326	326;328;278;248;145	0	107.86	902480000	13				217	11284;11829;12679;15278;17970;18569;19481;20207;20906	True;True;True;True;True;True;True;True;True	11443;11996;12854;15518;18260;18872;19794;20530;21240	13672;14332;15330;18407;21698;22433;23544;24425;25261;25262;25263	15403;16143;16144;17245;17246;20625;24335;25177;26409;27408;28343;28344;28345	15403;16144;17246;20625;24335;25177;26409;27408;28345		
sp|O43707|ACTN4_HUMAN;sp|O43707-2|ACTN4_HUMAN;tr|F5GXS2|F5GXS2_HUMAN;sp|O43707-3|ACTN4_HUMAN;tr|H7C144|H7C144_HUMAN;tr|K7EJH8|K7EJH8_HUMAN;tr|K7EP19|K7EP19_HUMAN;sp|Q08043|ACTN3_HUMAN;tr|D6RH00|D6RH00_HUMAN;tr|G3V2E8|G3V2E8_HUMAN;tr|B7Z4P8|B7Z4P8_HUMAN;tr|C9JRP8|C9JRP8_HUMAN;sp|Q9H254-2|SPTN4_HUMAN;tr|M0QZQ3|M0QZQ3_HUMAN;sp|Q9H254-4|SPTN4_HUMAN;sp|Q9H254|SPTN4_HUMAN	sp|O43707|ACTN4_HUMAN;sp|O43707-2|ACTN4_HUMAN;tr|F5GXS2|F5GXS2_HUMAN;sp|O43707-3|ACTN4_HUMAN	56;42;33;33;21;8;6;6;1;1;1;1;1;1;1;1	56;42;33;33;21;8;6;6;1;1;1;1;1;1;1;1	40;31;26;26;17;6;3;0;0;0;0;1;1;1;1;1	sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2;sp|O43707-2|ACTN4_HUMAN Isoform ACTN4ISO of Alpha-actinin-4 OS=Homo sapiens GN=ACTN4;tr|F5GXS2|F5GXS2_HUMAN Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=1;sp|O43707-3|ACTN4_HUMAN 	16	56	56	40	69	69	51.3	104.85	911	911;692;521;521;342;182;105;901;72;85;388;1309;1309;2002;2154;2564	0	323.31	12190000000	83				218	257;258;690;691;831;962;1556;1574;2211;2546;2599;2869;3309;3432;4278;4743;6441;7157;7678;7681;7753;7899;7977;8973;9331;9400;9650;10127;10456;10576;11739;11740;12194;12234;12791;13100;13401;13617;14278;14695;14738;14900;15129;15130;15358;16318;16921;17441;17653;17658;17661;18796;19021;19244;19262;19747	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	258;259;700;701;844;976;1578;1596;2243;2584;2638;2908;3355;3478;4333;4803;6537;7259;7789;7792;7865;8014;8093;9103;9467;9537;9789;10271;10605;10726;11903;11904;12365;12405;12968;13297;13615;13836;14512;14932;14975;15138;15368;15369;15598;16573;17187;17720;17934;17939;17942;19102;19330;19556;19574;20065	297;298;807;808;978;979;1129;1853;1873;2626;3017;3018;3081;3407;3929;4079;5093;5640;7715;8566;9229;9230;9234;9235;9350;9351;9535;9619;9620;10813;11242;11334;11335;11663;12277;12682;12821;14221;14222;14223;14766;14809;15467;15850;15851;16217;16218;16476;17257;17258;17747;17796;17992;17993;18240;18241;18498;18499;19665;19666;20390;21027;21028;21293;21299;21302;22708;22981;23273;23274;23294;23861	333;334;897;898;899;1087;1088;1089;1261;2100;2125;2964;3416;3417;3488;3853;4441;4608;5740;5741;5742;6343;6344;8682;8683;9626;10399;10400;10404;10405;10559;10560;10771;10870;10871;12196;12685;12785;12786;12787;13147;13829;14270;14434;14435;16019;16020;16021;16621;16671;17391;17392;17807;17808;18209;18210;18211;18502;19360;19361;19902;19903;19957;20170;20171;20436;20437;20734;20735;22054;22055;22863;23593;23594;23892;23900;23903;25482;25797;25798;26109;26110;26132;26762	333;334;898;899;1089;1261;2100;2125;2964;3417;3488;3853;4441;4608;5742;6343;8682;9626;10400;10404;10559;10771;10871;12196;12685;12787;13147;13829;14270;14434;16019;16021;16621;16671;17392;17808;18211;18502;19361;19903;19957;20171;20436;20437;20735;22055;22863;23593;23892;23900;23903;25482;25798;26110;26132;26762		
tr|H0YJN8|H0YJN8_HUMAN;sp|O43708-2|MAAI_HUMAN;tr|G3V267|G3V267_HUMAN;tr|G3V5T0|G3V5T0_HUMAN;sp|O43708|MAAI_HUMAN;tr|G3V4T6|G3V4T6_HUMAN	tr|H0YJN8|H0YJN8_HUMAN;sp|O43708-2|MAAI_HUMAN;tr|G3V267|G3V267_HUMAN;tr|G3V5T0|G3V5T0_HUMAN;sp|O43708|MAAI_HUMAN;tr|G3V4T6|G3V4T6_HUMAN	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	tr|H0YJN8|H0YJN8_HUMAN Maleylacetoacetate isomerase (Fragment) OS=Homo sapiens GN=GSTZ1 PE=4 SV=1;sp|O43708-2|MAAI_HUMAN Isoform 2 of Maleylacetoacetate isomerase OS=Homo sapiens GN=GSTZ1;tr|G3V267|G3V267_HUMAN Maleylacetoacetate isomerase OS=Homo sapiens 	6	1	1	1	28.6	28.6	28.6	7.5454	70	70;161;189;202;216;217	0.0012793	9.5319	49208000	1				219	13057	True	13251	15791	17746	17746		
